act_id,agent,action,act_object,act_target,start,end,site_information,discussion,source,page,commentary,note,id_lang,created,created_by,last_modified,last_modified_by
A00455,AG0118,AT05,W0192,,1972,1978,,Bo Hua remembers reading an essay by Duo Duo 多多 titled 《1972-1978 被埋葬的中国诗人》 in which the author mentions Sartre‘s novel being read in the early 1970s.,W0431,539,,,en,2018-05-31,DM,2020-04-04,DP
A00456,AG0103,AT05,W0192,,1960,1980,,Han Shaogong mentions this book as one of neibu books that the sent-down youths read.,W0431,580,,,en,2018-05-31,DM,2020-04-04,DP
A00457,AG0124,AT05,W0192,,1966,1976,,Xiao Xiao mentions it as one of the most important neibu books of the CR.,W0474,8,,,en,2018-05-31,DM,2020-04-04,DP
A00458,AG0117,AT25,W0544,,197x,197x,,"Chen Jianhua remembers that this Japanese thriller was watched in so many households during the late 1970s that one could easily hear it sounding from the open windows when walking the streets at night, a situation which gave the streets a very particular pulse (脉搏).",W0431,453,,,en,2018-05-31,DM,2020-04-04,DP
A00459,AG0124,AT05,W0194,,1966,1976,,Xiao Xiao mentions it as one of the most important neibu books of the CR.,W0474,8,,,en,2018-05-31,DM,2020-04-04,DP
A00460,AG0156,AT05,W0193,,1966,1976,,Song Yongyi mentions it as one of the most important neibu books during the Cultural Revolution.,W0435,327,,,en,2018-05-31,DM,2020-04-04,DP
A00461,AG0106,AT01,W0195,,1969,1971,SP0436,"Shu Ting read this book in the early phase of her rustication (it was recommended to her by a friend, possibly a penpal), however, she gives no author name – Schiller’s book is the most likely text she refers to.",W0474,301,,unknown place of rustication,en,2018-05-31,DM,2020-12-19,MG
A00462,AG0103,AT19,W0554,,1967,1967?,,Han Shaogong remembers that his fellow classmates were discussing Schubert’s music and that he did not know what they were talking about at that time.,W0431,565,unknown work by: AG0389,,en,2018-05-31,DM,2020-04-04,DP
A00463,AG0029,AT01,W0414,,196x,1966?,,Wu Hong has discovered Walter Scott on his mother’s bookshelf. He would read Scott’s works during the period right before the CR when his parents were often absent from home. Wu states that what he had read in that time had a lasting influence on him until today.,W0428,116,unknown work by: AG0390,,en,2018-05-31,DM,2020-04-04,DP
A00464,AG0116,AT01,W0196,,1972,1972?,,Li Daxing was inspired to begin reading romantic literature in 1972 upon meeting the young daughter of his father’s friend.,W0431,560,,,en,2018-05-31,DM,2020-04-04,DP
A00465,AG0252,AT05,W0554,,1972?,1972?,,Zhao Yuesheng remembers that Tang Ke 唐克 introduced him to Andres Segovia by explaining he plays the guitar just as if he would use the tanzou 弹奏 technique.,W0431,286,unknown work by: AG0392,,en,2018-05-31,DM,2020-04-04,DP
A00466,AG0029,AT01,W0414,,196x,1966?,SP0442,Wu Hong has discovered Shakespeare on his mother’s bookshelf. He would read Shakespeare’s works during the period right before the CR when his parents were often absent from home. Wu states that what he had read in that time had a lasting influence on him until today.,W0428,116,unknown work by: AG0301,,en,2018-05-31,DM,2020-12-19,MG
A00467,AG0103,AT22,W0197,,196x,197x,SP0055,"Han Shaogong remembers that in the countryside there was an educated youth who took story-telling as his unique ""currency,” so that he could ""purchase"" daily necessities in exchange for telling stories. Shakespeare was one of the authors whose works he would retell. ",W0431,572,,,en,2018-05-31,DM,2020-12-19,MG
A00468,AG0029,AT01,W0414,,196x,1966?,SP0442,Wu Hong has discovered Shakespeare on his mother’s bookshelf. He would read Shelly’s works during the period right before the CR when his parents were often absent from home. Wu states that what he had read in that time had a lasting influence on him until today.,W0428,116,unknown work by: AG0393,,en,2018-05-31,DM,2020-12-19,MG
A00469,AG0117,AT01,W0198,,197x,197x,SP0001,"Chen Jianhua found himself curious about all kinds of things and so he spent his time in Shanghai Municipal Library (SP0006 )reading various books, this essay collection amongst them. ",W0431,453,,,en,2018-06-01,DM,2020-12-19,MG
A00470,AG0239,AT26,W0545,,1963,1963,,Ming Xin’s teacher Wang Hanying recommended the movie to him when he said he wanted to try writing critiques.,W0497,ONLINE SOURCE,"The text is about the author's experience when he was a student at the Beijing No. 4 High School. He encountered the May 16 Notification and took part in the Red guards, raging the campus and households.",,en,2018-06-01,DM,2020-04-04,DP
A00471,AG0117,AT01,W0199,,197x,197x,SP0001,"Chen Jianhua found himself curious about all kinds of things and so he spent his time in Shanghai Municipal Library (SP0006r)eading various books, this essay collection amongst them. ",W0431,453,,,en,2018-06-01,DM,2020-12-19,MG
A00472,AG0103,AT05,W0131,,196x,197x,SP0055,Han Shaogong describes the workings of the black market during the CR – he mentions that a copy of Shuihu zhuan could be exchanged for ten bandages or one military belt.,W0431,570,,,en,2018-06-01,DM,2020-12-19,MG
A00473,AG0134,AT05,W0131,,197x,197x,,Yan Lianke mentions Shuihu zhuan as one of the great masterpieces of Chinese literature that everyone wanted to have on their shelf at that time.,W0431,391,,,en,2018-06-01,DM,2020-04-04,DP
A00474,AG0396,AT05,W0131,,1970,1970,,"Gao Mobo writes that Shuihu zhuan was confiscated from him during the ""yidasanfan (One Strike-Three Anti Campaign)"" as it was considered as feudalistic book.",W0431,95,,,en,2018-06-01,DM,2020-04-04,DP
A00475,AG0009,AT05,W0131,,1971,1971,,Bei Dao mentions Shuihu zhuan as one of the titles he was required to read in a reading group.,W0431,,,,en,2018-06-01,DM,2020-04-04,DP
A01365,AG0009,AT35,W0131,,1971,1971,,Bei Dao mentions Shuihu zhuan as one of the titles he was required to read in a reading group.,W0431,,,,en,2018-12-19,MG,2018-12-19,MG
A00476,AG0052,AT01,W0131,,1953,196x,,"Chi Zehou cites a fellow soldier remembering that Huang Yongsheng would always keep track of his books, regardless of the situation. Shuihu zhuan was one among them. ",W0456,ONLINE SOURCE,The text is about the time before the CR when the author was Huang Yongsheng's secretary. He commented on Huang Yongsheng and wrote some impressions.,,en,2018-06-01,DM,2020-04-04,DP
A00477,AG0045,AT27,W0131,,,,,"Xie Shengxian, when describing the conditions in the prison (SP0002), uses the metaphor of it being like in the times of Shuihu zhuan. ",W0447,ONLINE SOURCE,,,en,2018-06-01,DM,2018-12-19,MG
A00478,AG0103,AT05,W0554,,196x,197x,SP0055,Han Shaogong describes how he and his friends in the same work team brought different kinds of books and artworks with thems to exchange and discuss together. A collection of Shi Tao’s paintings was amongst them.,W0431,573,unknown work by: AG0397,,en,2018-06-01,DM,2020-12-19,MG
A00479,AG0156,AT05,W0200,,1966,1976,,Song Yongyi mentions it as one of the most important grey-covered books during the CR.,W0435,327,,,en,2018-08-04,DM,2020-04-04,DP
A00480,AG0399,AT16,W0200,,1966,1976,,"Song Yongyi quotes Gao Ruiquan as folllws: “One Chinese scholar, Gao Ruiquan, described how shocked he was when he first read William Lawrence Shirer’s The Rise and Fall of the Third Reich: A History of Nazi Germany: ‘It was like a flash of light across the night sky’. He instantly compared the German fascist movement with China’s Cultural Revolution and found that both led to the same ‘road for ruining a nation though they all obtained fanatical support from the masses at the outset’.”",W0435,327,,,en,2018-08-04,DM,2020-04-04,DP
A00481,AG0020,AT01,W0200,,197x,197x,,Gao Hua admits that of all the books he read in the mid-1970s it was this book and the memoirs of Khrushchev that impressed him most.,W0420,136,,,en,2018-08-04,DM,2020-04-04,DP
A00482,AG0104,AT05,W0200,,196x,197x,,Wang Shiqiang mentions the book as one of the more popular ‘gray cover books’ of the CR.,W0423,78,,,en,2018-08-04,DM,2020-04-04,DP
A00483,AG0103,AT05,W0200,,196x,197x,SP0055,"Han Shaogong mentions that a certain Mr. Yi (易某) was talking with him about the history of militaria and wars, basing his knowledge probably on having read PS00370.",W0419,571,,,en,2018-08-04,DM,2020-12-19,MG
A00484,AG0118,AT05,W0200,,1979,1982,SP0446,Bo Hua describes a reading group he was part of in middle school,W0476,532,,,en,2018-08-04,DM,2020-12-19,MG
A00485,AG0310,AT05,W0200,,1971,1980,,,W0514,172,,,en,2018-08-04,DM,2020-04-04,DP
A00486,AG0124,AT05,W0200,,1966,1976,,Xiao Xiao mentions it as one of the most important neibu books of the CR,W0474,8,,,en,2018-08-04,DM,2020-04-04,DP
A00487,AG0123,AT05,W0554,,1966?,1976,,Bao Kun names Shishkin as one of the Russian painters who were mentioned most often as examples to follow in seminars at Beijing’s Art Academy (SP0005.),W0431,197,unknown work by: AG0400,,en,2018-08-05,DM,2020-12-19,MG
A00488,AG0020,AT05,W0201,,197x,197x,,"Gao Hua writes that he has preserved the pocket edition of this book till present day. Gao Hua said that at Prof. 刘妮娜's home (Russian-born Prof. 刘妮娜, Department of Foreign Languages, Nanjing University (SP0093)) he forgot about the real world and immersed himself in the world of Russian literature. He also mentioned that the warm and comfort atmosphere that he enjoyed at her place is still in his memories.",W0420,137,,,en,2018-08-05,DM,2020-12-19,MG
A00489,AG0042,AT22,W0201,,1956,1976,,"Lin Da quotes Cao Ying, the translator of Solokhov’s book, as follows: ""I was particularly moved by reading ‘Destiny of a Man’ in 1956, and immediately translated it into Chinese. [This interest] was also motivated by my having a deeper feeling about the anti-fascist war, I sincerely hope that human beings will no longer be affected by such atrocities. Yet I never thought that ‘Destiny of a Man’ will be deemed a poisonous weed. I was then persecuted in the Cultural Revolution for the translation of Sholokhov's works and I was on the verge of life and death twice… I was called ‘Sholokhov’s Man in China’ and 'Sholokhov's praiser’.”",W0433,ONLINE SOURCE,,,en,2018-08-05,DM,2020-04-04,DP
A00490,AG0114,AT27,W0131,,19XX,19XX,,Zhang Yang uses PS000259 as a metaphor to describe the atmosphere of a scene.,W0429,30,,,en,2018-08-06,DM,2020-04-04,DP
A00491,AG0116,AT01,W0202,,1979,1979,SP0001,The author has nothing to do during the summer vacation. He reads in the library during the day and takes notes in the meeting room at night.,W0475,562,,,en,2018-11-15,DM,2020-12-19,MG
A00492,AG0053,AT01,W0203,,1950..196x,1950..196x,,he was interested in the classics and read them a lot,W0458,ONLINE SOURCE,,Added by CW and JH transferred without rechecking requires further checks,en,2018-11-15,DM,2020-04-04,DP
A00493,AG0188,AT05,W0203,,19xx,19xx,,unknown,W0454,ONLINE SOURCE,All data missing in the original dataset,This work probably not exist in the original text please check again.,en,2018-11-15,DM,2020-04-04,DP
A00494,AG0103,AT23,W0203,,196x,197x,SP0055,The author heard many stories from an educated youth in his team and those were mainly from these classic works,W0419,571,,,en,2018-11-15,DM,2020-12-19,MG
A00495,AG0029,AT17,W0204,,1966,,,The author recites this item.,W0428,120,,,en,2018-11-15,DM,2020-04-04,DP
A00496,AG0038,AT05,W0205,AG0113,1971,1971,SP0009,Huang Xiaolong was secretly mocking his supervisor Wang while he was showing off his knowledge of classical Chinese literature,W0426,ONLINE SOURCE,The text recorded the author's experience in a fishing grounds in Sichuan in 1971. Desipte the fact that the high peak of violence in the CR came to an end the checking out the May 16th components just started,read during rustication?,en,2018-11-17,DM,2020-12-19,MG
A00497,AG0055,AT06,W0206,,1950s,1950s,,Gu Jiegang was commissioned by Mao Zedong to take charge of the punctuation of this book,W0454,ONLINE SOURCE,The text records several prominent historians' experiences during the CR,,en,2018-11-17,DM,2020-04-04,DP
A00498,AG0124,AT05,W0207,,1966,1976,,Xiao Xiao mentions it as one of the most important neibu books of the CR,W0474,7-10,,,en,2018-11-17,DM,2020-04-04,DP
A00499,AG0156,AT05,W0207,,1966,1976,,Song Yongyi mentions it as one of the most important grey-covered books during the CR,W0435,327,,,en,2018-11-17,DM,2020-04-04,DP
A00500,AG0011,AT05,W0639,,19xx,19xx,,unknown,W0477,57,All data missing in the original dataset,Added by JH transferred without rechecking requires further checks,en,2018-11-17,DM,2020-04-04,DP
A00501,AG0103,AT05,W0069,,1972,1972,,"The author introduced the categories of those internal published books. The year 1972 was overwhelming to those book lovers, for they sensed there seemed to be a chance of opening  up.",W0419,581,,,en,2018-04-11,WH,2020-04-04,DP
A00502,AG0009,AT01,W0070,,"[1949..1966, 1967]","[1949..1966, 1967]",,"Bei Dao mentions that before the rustication, they have already started to read extensively. First, under the influence of his classmates he read books on politics, economics and history, in order to devote his life to the revolution. After he became a builder, he started to be interested in the literary works. At that time, the most popular books were the 'neibu' books, namely yellow-covered books. Ehrenburg's work was among the most influential for Bei Dao and he read this piece many times, it opened a window that lead to a world so different from his real life.  As it seems to him now, Ehrenburg's piece is not that good, but at those times it served as a guidebook for 'searching' young people and gave them an ability to dream. Bei Dao's memoirs are cited from Jian Ying 建英 2006 (Wang Shiqiang 2014: 88).",W0487,46,,,en,2018-04-26,WH,2020-04-04,DP
A00503,AG0626,AT01,W0414,,19xx,19xx,,The author remembered that there was a worker whose surname was Zhu. He wrote many poems and mentioned these poets very often,W0419,583,,,en,2018-04-26,WH,2020-04-04,DP
A00504,AG0018,AT05,W0414,,19xx,19xx,,He mentions that Eliot’s poems are of his book list.,W0480,311,,,en,2018-04-26,WH,2020-04-04,DP
A00505,AG0003,AT17,W0217,,[1963..1965?],[1963..1965?],,Zhang Langlang recited the poems for his brother and his friends during their summer vocation.,W0439,46,,,en,2018-04-26,WH,2020-04-04,DP
A00506,AG0626,AT01,W0074,,1976~,1976~,SP0439,"""A young factory lady was reading this book, and she admired Jiang Qing for she was considered as the model of women at that time. But later after the book was seen nowhere from this lady.",W0478,335,,,en,2018-04-26,WH,2020-12-19,MG
A00507,AG0061,AT01,W0074,,1969,1970,SP0002,"She describes the personal gain she gots out of reading (more self-confidence, political understanding of her past, hope)",W0440,461,,,en,2018-04-26,WH,2020-12-09,MG
A00508,AG0115,AT25,W0218,,1968~,1968~,SP0156,After reading this work the author could not understand  why  there were still class and class struggle under a socialist system.,W0471,418,,,en,2018-04-26,WH,2020-12-19,MG
A00509,AG0626,AT03,W0218,AG0061,1973,1974,SP0002,The book was given to her while she was in prison. First in Chinese and later in German.,W0440,,,,en,2018-05-02,WH,2020-12-09,MG
A00510,AG0122,AT05,W0414,,19xx,19xx,,He painted in Fechin's style.,W0485,351,,,en,2018-05-03,WH,2020-04-04,DP
A00511,AG0196,AT05,W0219,,1966,1966,,His grandfather used to have this book.,W0489,,,,en,2018-05-03,WH,2020-04-04,DP
A00512,AG0116,AT01,W0220,,1973,1973,SP0442,He reads this book secretly at home. It was perhaps from the library of his father's institute.,W0475,554,,,en,2018-05-03,WH,2020-12-19,MG
A00513,AG0116,AT01,W0414,,19xx,19xx,,He read Feng's poem after growing up. He was surprised compared with Feng's image.,W0475,560,,,en,2018-05-03,WH,2020-04-04,DP
A00514,AG0033,AT05,W0221,,19xx,19xx,,"While reading the book Zhongguo xin shixuan, the author recognized that this poem was adapted from the novel Soushen ji.",W0443,,,,en,2018-05-03,WH,2020-04-04,DP
A00515,AG0003,AT01,W0156,,1961,1963?,SP0003,He would like to search book in old bookstores. He found this book there and read it later.,W0439,38,,,en,2018-05-03,WH,2020-12-19,MG
A01366,AG0003,AT44,W0156,,1961,1963?,SP0003,He would like to search book in old bookstores. He found this book there and read it later.,W0439,38,,,en,2020-12-19,MG,2020-12-19,MG
A00516,AG0033,AT01,W0222,,19xx,19xx,,The author sought the information of the temples in Chengdu in this book.,W0443,,,,en,2018-05-03,WH,2020-04-04,DP
A00517,AG0011,AT05,W0554,,1968..,1968..,,The author was astonished when she saw the works of these renowned painters in the houses of her friends whose parents are painters as well.,W0477,56,,,en,2018-06-21,WH,2020-04-04,DP
A00518,AG0032,AT05,W0223,AG0031,1969..,1969..,SP0002,The author met Zhu Shixian in the prison. Zhu told him about this text from a high school textbook.,W0436,ONLINE SOURCE,,,en,2018-06-21,WH,2020-12-19,MG
A00519,AG0054,AT13,W0224,,195x,195x,,He accomplished the book series.,W0454,ONLINE SOURCE,,,en,2018-06-21,WH,2020-04-04,DP
A00520,AG0031,AT01,W0225,,1969..,1969..,SP0002,Huang got in to the Sichuan Second Prison in 1969 Summer due to his diary. He was sent to labor reform and he met Zhu Shixian there. The text is about their lives in the prison. They recall and read many literature in the prison. Zhu suicided in the prison.,W0436,ONLINE SOURCE,,,en,2018-07-09,WH,2020-12-19,MG
A00521,AG0032,AT05,W0225,AG0031,19xx,19xx,SP0002,The author met Zhu Shixian in the prison. Zhu told him about this text from a high school textbook.,W0436,ONLINE SOURCE,,,en,2018-07-09,WH,2020-12-19,MG
A00522,AG0054,AT13,W0226,,195x,195x,,He accomplished the book series.,W0454,ONLINE SOURCE,,,en,2018-07-09,WH,2020-04-04,DP
A00523,AG0054,AT13,W0227,,195x,195x,,He accomplished the book series.,W0454,ONLINE SOURCE,,,en,2018-07-10,WH,2020-04-04,DP
A00524,AG0054,AT13,W0228,,195x,195x,,He accomplished the book series.,W0454,ONLINE SOURCE,,,en,2018-07-10,WH,2020-04-04,DP
A00525,AG0045,AT01,W0229,,1971,1971,,After reading the Little Red Book for few days began the author and other members of the study small group reading other books.,W0447,ONLINE SOURCE,,,en,2018-07-10,WH,2020-04-04,DP
A00526,AG0106,AT05,W0230,,1966..1970~,1966..1970~,SP0436,Shu Ting relates that she read the Novel as she was hit by a bullet fired by red guards invading the physics building,W0425,300,,unknown place of rustication,en,2018-07-12,WH,2020-12-19,MG
A00527,AG0103,AT05,W0230,,196x,196x,SP0446,After many years he remembered the books he read at school when he read this book although he did not even know the author’s name or the titles.,W0419,565,,,en,2018-07-12,WH,2020-12-19,MG
A00528,AG0626,AT03,W0230,AG0103,19xx,19xx,SP0055,There was an educated youth whose father was a cadre offered many aesthetic books to the author.,W0419,583,,,en,2018-07-12,WH,2020-12-19,MG
A00601,AG0116,AT01,W0184,,1978,1978,,Someone recommended him to borrow this book,W0475,560f,,,en,2018-06-01,MG,2020-04-04,DP
A00602,AG0033,AT22,W0187,,1961..1962,1961..1962,,Zhou reminds this tale seeing his brother,W0443,ONLINE SOURCE,,,en,2018-06-04,MG,2020-04-04,DP
A00603,AG0041,AT01,W0414,,1966..1976,1966..1976,SP0015,she writes that now she can only recall having secretly read works from Hugo and Pushkin at that time,W0446,ONLINE SOURCE,unknown work by: AG0286,,en,2018-06-04,MG,2021-01-02,MG
